Designator,Mid X,Mid Y,Layer,Rotation,
C6,54.03820,21.48020,T,90,90
C5,48.43820,21.48020,T,90,90
C4,53.70000,7.50000,T,90,90
C3,48.10000,7.50000,T,90,90
C2,53.70000,36.00000,T,90,90
C1,48.10000,36.00000,T,90,90
U3,51.23820,21.48020,T,90,90
U2,50.90000,7.50000,T,90,90
U1,50.90000,36.00000,T,90,90
R16,52.28820,16.93020,T,0,0
R15,49.53820,16.93020,T,0,0
R13,46.50000,28.25000,T,270,270
R11,51.95000,2.95000,T,0,0
R10,49.20000,2.95000,T,0,0
R8,46.25000,13.75000,T,270,270
R6,51.95000,31.45000,T,0,0
R3,46.50000,42.00000,T,270,270
R2,44.20000,35.70000,T,90,90
L3,51.25000,25.50000,T,180,180
L2,51.25000,11.75000,T,180,180
L1,51.00000,40.00000,T,180,180
